,problem_id,level_type,points,tag
103,prob_4590,B,1000,dp
104,prob_4590,B,1000,implementation
105,prob_4675,E,nan,dp
106,prob_4675,E,nan,games
107,prob_2952,A,500,implementation
108,prob_4487,I,nan,nan
109,prob_2836,C,1500,dp
110,prob_445,E,nan,nan
111,prob_2256,D,1750,hashing
112,prob_2256,D,1750,strings
113,prob_1123,J,nan,nan
114,prob_2771,C,1500,implementation
115,prob_5038,G,nan,nan
116,prob_4040,I,nan,nan
117,prob_5402,D,nan,nan
118,prob_6481,E,2500,combinatorics
119,prob_6481,E,2500,dp
120,prob_6481,E,2500,implementation
121,prob_6481,E,2500,number theory
122,prob_5081,F,nan,data structures
123,prob_4378,I,nan,nan
124,prob_3364,B,nan,nan
125,prob_4862,B,1000,binary search
126,prob_4862,B,1000,greedy
127,prob_811,C,nan,nan
128,prob_832,B,nan,nan
129,prob_145,nan,nan,nan
130,prob_1740,A,1000,constructive algorithms
131,prob_1740,A,1000,dp
132,prob_1740,A,1000,math
133,prob_6237,F,nan,implementation
134,prob_3438,A,500,implementation
135,prob_4101,B,nan,nan
136,prob_2305,C,1750,dp
137,prob_2305,C,1750,greedy
138,prob_6003,B,1000,brute force
139,prob_6003,B,1000,math
140,prob_4785,nan,8,dp
141,prob_1117,H,nan,nan
142,prob_5767,B,nan,greedy
143,prob_5767,B,nan,two pointers
144,prob_5340,I,nan,nan
145,prob_5275,A,500,implementation
146,prob_4778,B,1000,constructive algorithms
147,prob_4778,B,1000,dfs and similar
148,prob_4778,B,1000,dsu
149,prob_4778,B,1000,trees
150,prob_825,J,nan,nan
151,prob_2985,D,2000,combinatorics
152,prob_2985,D,2000,dp
153,prob_1125,F,nan,nan
154,prob_5253,A,500,constructive algorithms
155,prob_5253,A,500,sortings
156,prob_4989,A,nan,nan
157,prob_2512,J,nan,nan
158,prob_750,C,nan,nan
159,prob_3580,B,750,dfs and similar
160,prob_3580,B,750,dp
161,prob_3580,B,750,graphs
162,prob_3580,B,750,strings
163,prob_3580,B,750,trees
164,prob_2697,A,500,binary search
165,prob_2697,A,500,bitmasks
166,prob_2697,A,500,brute force
167,prob_2697,A,500,greedy
168,prob_2697,A,500,implementation
169,prob_2697,A,500,strings
170,prob_4781,I,nan,nan
171,prob_5218,B,nan,nan
172,prob_6362,D,2000,binary search
173,prob_6362,D,2000,data structures
174,prob_6362,D,2000,greedy
175,prob_6362,D,2000,sortings
176,prob_4167,C,1750,constructive algorithms
177,prob_4167,C,1750,dfs and similar
178,prob_4167,C,1750,trees
179,prob_1069,I,nan,nan
180,prob_1535,nan,nan,nan
181,prob_159,A,nan,nan
182,prob_667,A,500,implementation
183,prob_5605,B,nan,nan
184,prob_4320,K,nan,nan
185,prob_4343,B,1000,expression parsing
186,prob_4343,B,1000,implementation
187,prob_5047,B,500,math
188,prob_1000,A,500,implementation
189,prob_4906,A,nan,nan
190,prob_5689,D,2250,dp
191,prob_5689,D,2250,probabilities
192,prob_5689,D,2250,sortings
193,prob_4369,M,nan,nan
194,prob_4100,D,2000,bitmasks
195,prob_4100,D,2000,brute force
196,prob_1490,D,2000,binary search
197,prob_1490,D,2000,greedy
198,prob_3431,C,1500,brute force
199,prob_3431,C,1500,constructive algorithms
200,prob_3431,C,1500,implementation
201,prob_1308,C,nan,implementation
202,prob_1308,C,nan,sortings
203,prob_2463,B,1000,greedy
204,prob_2463,B,1000,implementation
205,prob_2463,B,1000,strings
206,prob_2474,F,3000,data structures
207,prob_2474,F,3000,divide and conquer
208,prob_3377,K,nan,nan
209,prob_6084,B,nan,nan
210,prob_2964,E,2500,games
211,prob_3881,C,1500,brute force
212,prob_3881,C,1500,sortings
213,prob_3881,C,1500,two pointers
214,prob_5326,nan,1000,nan
215,prob_2322,B,nan,nan
216,prob_1647,D,2000,math
217,prob_1647,D,2000,ternary search
218,prob_1541,A,750,brute force
219,prob_1541,A,750,implementation
220,prob_1541,A,750,math
221,prob_965,C,nan,nan
222,prob_4420,C,1500,brute force
223,prob_4420,C,1500,constructive algorithms
224,prob_5176,B,nan,nan
225,prob_1324,F,nan,flows
226,prob_5339,D,1500,data structures
227,prob_5339,D,1500,greedy
228,prob_551,D,1500,combinatorics
229,prob_551,D,1500,dfs and similar
230,prob_551,D,1500,graphs
231,prob_551,D,1500,trees
232,prob_4138,D,2000,dp
233,prob_4138,D,2000,greedy
234,prob_4138,D,2000,math
235,prob_838,C,nan,nan
236,prob_1833,B,nan,nan
237,prob_409,F,nan,nan
238,prob_221,A,500,implementation
239,prob_4375,C,nan,bitmasks
240,prob_4375,C,nan,dp
241,prob_4375,C,nan,math
242,prob_466,D,nan,nan
243,prob_2328,D,nan,greedy
244,prob_2328,D,nan,meet-in-the-middle
245,prob_2328,D,nan,sortings
246,prob_2050,L,nan,nan
247,prob_3518,D,nan,nan
248,prob_785,A,500,implementation
249,prob_478,F,nan,nan
250,prob_5529,D,2000,brute force
251,prob_5529,D,2000,dp
252,prob_5529,D,2000,strings
253,prob_6170,D,2000,bitmasks
254,prob_6170,D,2000,constructive algorithms
255,prob_6170,D,2000,dp
256,prob_6170,D,2000,greedy
257,prob_3228,I,nan,nan
258,prob_948,E,2000,dp
259,prob_948,E,2000,games
260,prob_1609,D,nan,*special
261,prob_1609,D,nan,constructive algorithms
262,prob_1609,D,nan,sortings
263,prob_2874,B,nan,geometry
264,prob_2874,B,nan,implementation
265,prob_685,A,nan,nan
266,prob_5799,A,nan,nan
267,prob_3795,D,2000,data structures
268,prob_3795,D,2000,strings
269,prob_320,D,nan,nan
270,prob_841,B,nan,nan
271,prob_1839,D,nan,nan
272,prob_6348,A,500,implementation
273,prob_333,C,1500,flows
274,prob_333,C,1500,graph matchings
275,prob_6135,D,2000,constructive algorithms
276,prob_6135,D,2000,dsu
277,prob_6135,D,2000,graphs
278,prob_6135,D,2000,implementation
279,prob_6135,D,2000,string suffix structures
280,prob_420,J,nan,nan
281,prob_992,B,nan,nan
282,prob_2978,A,500,math
283,prob_557,B,nan,nan
284,prob_2160,F,3000,data structures
285,prob_2160,F,3000,dsu
286,prob_2160,F,3000,graphs
287,prob_2160,F,3000,trees
288,prob_2255,H,nan,nan
289,prob_3400,A,500,binary search
290,prob_3400,A,500,math
291,prob_3766,C,1500,geometry
292,prob_3766,C,1500,implementation
293,prob_3766,C,1500,sortings
294,prob_6072,A,500,implementation
295,prob_642,E,nan,nan
296,prob_6099,B,1250,dp
297,prob_6099,B,1250,greedy
298,prob_6234,J,nan,nan
299,prob_1937,E,2500,combinatorics
300,prob_1937,E,2500,dp
301,prob_3004,J,nan,nan
302,prob_579,B,nan,nan
303,prob_1628,B,500,binary search
304,prob_1628,B,500,data structures
305,prob_2590,B,nan,nan
306,prob_6463,B,nan,nan
307,prob_3491,A,500,brute force
308,prob_3491,A,500,implementation
309,prob_5413,B,nan,nan
310,prob_3046,E,nan,nan
311,prob_3255,C,nan,nan
312,prob_2281,B,1000,greedy
313,prob_2281,B,1000,implementation
314,prob_2767,K,nan,nan
315,prob_760,E,nan,nan
316,prob_1064,C,nan,nan
317,prob_3268,nan,nan,*special
318,prob_6347,F,nan,nan
319,prob_5250,A,500,geometry
320,prob_5250,A,500,math
321,prob_3302,C,1500,combinatorics
322,prob_3302,C,1500,dp
323,prob_3302,C,1500,probabilities
324,prob_4458,A,nan,nan
325,prob_2839,A,nan,nan
326,prob_4937,E,2500,dp
327,prob_4937,E,2500,hashing
328,prob_4937,E,2500,strings
329,prob_4706,B,nan,nan
330,prob_5716,C,nan,nan
331,prob_1052,K,nan,nan
332,prob_6248,B,nan,nan
333,prob_3511,D,nan,nan
334,prob_1745,C,1500,greedy
335,prob_1745,C,1500,implementation
336,prob_6007,F,nan,math
337,prob_6007,F,nan,two pointers
338,prob_5019,A,nan,nan
339,prob_3902,D,nan,greedy
340,prob_3902,D,nan,implementation
341,prob_2439,G,nan,flows
342,prob_5629,J,nan,nan
343,prob_3977,B,nan,nan
344,prob_6254,C,1500,data structures
345,prob_3722,E,2500,flows
346,prob_3173,B,nan,brute force
347,prob_3173,B,nan,math
348,prob_1075,D,nan,nan
349,prob_1986,F,nan,dp
350,prob_1986,F,nan,math
351,prob_1986,F,nan,number theory
352,prob_2400,I,nan,nan
353,prob_520,A,500,implementation
354,prob_520,A,500,strings
355,prob_1194,B,1000,data structures
356,prob_1194,B,1000,dp
357,prob_1194,B,1000,implementation
358,prob_2540,C,1500,dp
359,prob_1024,D,nan,nan
360,prob_6126,C,nan,*special
361,prob_6126,C,nan,constructive algorithms
362,prob_6126,C,nan,greedy
363,prob_5572,E,nan,nan
364,prob_2684,C,1500,greedy
365,prob_2684,C,1500,sortings
366,prob_1856,D,500,implementation
367,prob_3690,I,nan,nan
368,prob_2364,B,500,dfs and similar
369,prob_2364,B,500,greedy
370,prob_2364,B,500,implementation
371,prob_1339,C,1500,constructive algorithms
372,prob_1339,C,1500,greedy
373,prob_1390,B,1000,data structures
374,prob_1390,B,1000,two pointers
375,prob_6078,J,nan,nan
376,prob_3297,D,2000,dp
377,prob_3297,D,2000,string suffix structures
378,prob_3297,D,2000,strings
379,prob_3297,D,2000,two pointers
380,prob_6102,D,nan,dp
381,prob_6102,D,nan,greedy
382,prob_6102,D,nan,math
383,prob_680,C,2000,binary search
384,prob_680,C,2000,data structures
385,prob_680,C,2000,probabilities
386,prob_680,C,2000,sortings
387,prob_5394,C,1500,combinatorics
388,prob_5394,C,1500,dp
389,prob_5394,C,1500,math
390,prob_508,A,500,brute force
391,prob_4114,F,nan,*special
392,prob_4114,F,nan,implementation
393,prob_1264,C,nan,nan
394,prob_3643,G,nan,nan
395,prob_5568,B,1000,brute force
396,prob_2167,A,500,brute force
397,prob_2167,A,500,implementation
398,prob_503,B,1000,constructive algorithms
399,prob_503,B,1000,implementation
400,prob_503,B,1000,strings
401,prob_2846,E,nan,nan
402,prob_2500,E,nan,dfs and similar
403,prob_2500,E,nan,divide and conquer
404,prob_2500,E,nan,dsu
405,prob_2910,D,nan,nan
406,prob_3249,F,nan,nan
407,prob_6277,C,1500,brute force
408,prob_6277,C,1500,data structures
409,prob_6277,C,1500,dp
410,prob_6277,C,1500,greedy
411,prob_3542,B,1000,greedy
412,prob_3542,B,1000,implementation
413,prob_5588,C,1500,dp
414,prob_5646,A,500,implementation
415,prob_5646,A,500,sortings
416,prob_5586,G,nan,nan
417,prob_2721,A,500,implementation
418,prob_2721,A,500,strings
419,prob_5028,F,2500,binary search
420,prob_5028,F,2500,brute force
421,prob_5028,F,2500,combinatorics
422,prob_5028,F,2500,dp
423,prob_5028,F,2500,implementation
424,prob_3476,C,nan,nan
425,prob_3041,H,nan,nan
426,prob_1523,I,nan,nan
427,prob_451,D,nan,nan
428,prob_2358,L,nan,implementation
429,prob_205,E,2500,dfs and similar
430,prob_205,E,2500,dp
431,prob_205,E,2500,graphs
432,prob_205,E,2500,shortest paths
433,prob_2261,K,nan,nan
434,prob_5452,F,2750,bitmasks
435,prob_5452,F,2750,dp
436,prob_5452,F,2750,greedy
437,prob_2890,G,nan,nan
438,prob_6180,E,2500,data structures
439,prob_6180,E,2500,divide and conquer
440,prob_6180,E,2500,trees
441,prob_5924,B,nan,nan
442,prob_4092,B,nan,nan
443,prob_943,A,nan,nan
444,prob_567,F,nan,nan
445,prob_1466,E,2500,data structures
446,prob_1466,E,2500,dsu
447,prob_1466,E,2500,trees
448,prob_1162,H,nan,combinatorics
449,prob_1162,H,nan,number theory
450,prob_2883,E,nan,nan
451,prob_5678,A,500,implementation
452,prob_5678,A,500,math
453,prob_6489,B,nan,nan
454,prob_4066,C,nan,nan
455,prob_1042,F,nan,nan
456,prob_5744,B,1000,implementation
457,prob_6381,C,nan,nan
458,prob_6500,A,500,implementation
459,prob_3625,A,500,constructive algorithms
460,prob_3625,A,500,data structures
461,prob_3625,A,500,implementation
462,prob_3625,A,500,two pointers
463,prob_4319,L,nan,nan
464,prob_6204,D,2500,constructive algorithms
465,prob_1275,C,1500,dfs and similar
466,prob_5682,E,3000,dp
467,prob_5682,E,3000,fft
468,prob_5682,E,3000,probabilities
469,prob_1172,D,2000,binary search
470,prob_1172,D,2000,data structures
471,prob_1172,D,2000,sortings
472,prob_1978,A,1000,math
473,prob_3259,H,nan,nan
474,prob_2074,D,nan,nan
475,prob_1450,B,nan,nan
476,prob_1033,C,1500,string suffix structures
477,prob_1033,C,1500,strings
478,prob_763,B,1000,two pointers
479,prob_6069,B,nan,nan
480,prob_148,C,1500,combinatorics
481,prob_148,C,1500,dp
482,prob_1329,D,nan,nan
483,prob_3417,F,nan,nan
484,prob_5930,A,nan,nan
485,prob_1842,I,nan,nan
486,prob_5780,A,500,sortings
487,prob_3878,C,nan,nan
488,prob_413,I,nan,nan
489,prob_4195,C,nan,nan
490,prob_6118,C,nan,two pointers
491,prob_2639,A,500,brute force
492,prob_5177,I,nan,nan
493,prob_2690,F,nan,nan
494,prob_739,H,nan,nan
495,prob_4315,C,nan,nan
496,prob_613,L,nan,greedy
497,prob_613,L,nan,math
498,prob_4852,nan,nan,nan
499,prob_343,F,2500,data structures
500,prob_855,H,nan,nan
501,prob_6305,I,nan,nan
502,prob_4976,E,nan,nan
503,prob_4390,J,nan,nan
504,prob_3732,G,nan,nan
505,prob_1954,D,nan,nan
506,prob_5184,B,nan,nan
507,prob_1497,B,1000,implementation
508,prob_1497,B,1000,math
509,prob_4912,G,nan,nan
510,prob_4016,E,nan,nan
511,prob_5259,A,nan,nan
512,prob_5484,A,500,brute force
513,prob_209,C,nan,nan
514,prob_729,A,500,greedy
515,prob_729,A,500,math
516,prob_5733,D,2000,binary search
517,prob_5733,D,2000,data structures
518,prob_5733,D,2000,geometry
519,prob_5733,D,2000,sortings
520,prob_5733,D,2000,two pointers
521,prob_6068,B,1500,brute force
522,prob_6068,B,1500,constructive algorithms
523,prob_6068,B,1500,hashing
524,prob_6068,B,1500,string suffix structures
525,prob_6068,B,1500,strings
526,prob_6264,G,nan,nan
527,prob_1270,B,500,brute force
528,prob_1270,B,500,constructive algorithms
529,prob_1270,B,500,math
530,prob_1270,B,500,number theory
531,prob_6129,E,nan,nan
532,prob_149,A,nan,nan
533,prob_6108,E,2500,data structures
534,prob_6108,E,2500,dsu
535,prob_1484,C,1500,math
536,prob_1484,C,1500,sortings
537,prob_1294,K,nan,nan
538,prob_1809,E,2500,graphs
539,prob_1809,E,2500,greedy
540,prob_1809,E,2500,shortest paths
541,prob_971,F,nan,nan
542,prob_2647,D,nan,nan
543,prob_1249,F,nan,nan
544,prob_4709,D,2000,combinatorics
545,prob_4709,D,2000,dp
546,prob_462,D,2000,games
547,prob_2110,C,1500,brute force
548,prob_2110,C,1500,constructive algorithms
549,prob_2110,C,1500,dp
550,prob_2110,C,1500,implementation
551,prob_2110,C,1500,strings
552,prob_1529,F,2500,binary search
553,prob_1529,F,2500,two pointers
554,prob_519,D,nan,nan
555,prob_818,B,nan,nan
556,prob_5225,E,2500,data structures
557,prob_5225,E,2500,dp
558,prob_976,B,1000,implementation
559,prob_2915,A,500,implementation
560,prob_845,B,nan,dp
561,prob_845,B,nan,matrices
562,prob_4838,F,nan,nan
563,prob_1739,D,nan,nan
564,prob_4299,C,1250,data structures
565,prob_4299,C,1250,sortings
566,prob_2547,nan,nan,nan
567,prob_2817,A,1750,dfs and similar
568,prob_2817,A,1750,strings
569,prob_2817,A,1750,trees
570,prob_171,C,1500,data structures
571,prob_3202,C,nan,games
572,prob_4325,A,nan,nan
573,prob_2665,E,2500,binary search
574,prob_2665,E,2500,bitmasks
575,prob_2665,E,2500,brute force
576,prob_2665,E,2500,dp
577,prob_5280,C,1500,combinatorics
578,prob_5280,C,1500,dsu
579,prob_5280,C,1500,graphs
580,prob_4237,C,1500,greedy
581,prob_4237,C,1500,math
582,prob_2180,B,1000,bitmasks
583,prob_2180,B,1000,brute force
584,prob_2180,B,1000,dfs and similar
585,prob_2180,B,1000,greedy
586,prob_5840,B,nan,nan
587,prob_354,G,nan,flows
588,prob_5281,L,nan,nan
589,prob_3120,J,nan,nan
590,prob_3843,F,nan,nan
591,prob_3957,L,nan,nan
592,prob_4009,E,nan,nan
593,prob_5195,D,nan,constructive algorithms
594,prob_5195,D,nan,greedy
595,prob_1903,G,nan,nan
596,prob_5234,A,nan,nan
597,prob_4146,E,2500,brute force
598,prob_4146,E,2500,data structures
599,prob_5463,A,nan,implementation
600,prob_5463,A,nan,strings
601,prob_3305,D,2000,brute force
602,prob_3305,D,2000,dfs and similar
603,prob_3305,D,2000,graphs
604,prob_4436,K,nan,nan
605,prob_4884,A,500,greedy
606,prob_6098,K,nan,nan
607,prob_2546,B,1000,dfs and similar
608,prob_2546,B,1000,dsu
609,prob_2546,B,1000,graphs
610,prob_3199,J,nan,nan
611,prob_4495,G,nan,nan
612,prob_3924,E,2500,math
613,prob_1286,E,nan,nan
614,prob_3799,D,2000,constructive algorithms
615,prob_3799,D,2000,greedy
616,prob_3799,D,2000,math
617,prob_2493,A,nan,implementation
618,prob_5735,J,nan,nan
619,prob_4053,D,2000,dfs and similar
620,prob_4053,D,2000,dp
621,prob_4053,D,2000,trees
622,prob_4936,J,nan,nan
623,prob_4232,G,2500,bitmasks
624,prob_4232,G,2500,graphs
625,prob_4232,G,2500,math
626,prob_4232,G,2500,trees
627,prob_1067,B,1500,dfs and similar
628,prob_1067,B,1500,implementation
629,prob_3961,H,nan,nan
630,prob_2000,G,nan,nan
631,prob_4144,B,nan,nan
632,prob_1763,F,nan,nan
633,prob_2100,B,1000,data structures
634,prob_2100,B,1000,graphs
635,prob_2100,B,1000,shortest paths
636,prob_5477,K,nan,nan
637,prob_3836,A,500,implementation
638,prob_6176,D,nan,nan
639,prob_1617,nan,nan,constructive algorithms
640,prob_1617,nan,nan,hashing
641,prob_1617,nan,nan,trees
642,prob_1633,C,1000,brute force
643,prob_1633,C,1000,greedy
644,prob_2061,F,nan,nan
645,prob_3725,E,2500,data structures
646,prob_3725,E,2500,divide and conquer
647,prob_3725,E,2500,implementation
648,prob_3725,E,2500,trees
649,prob_5511,A,nan,nan
650,prob_3598,A,nan,nan
651,prob_4213,C,1500,math
652,prob_6165,K,nan,nan
653,prob_5900,B,1000,combinatorics
654,prob_5900,B,1000,math
655,prob_6049,A,500,brute force
656,prob_6049,A,500,data structures
657,prob_6049,A,500,implementation
658,prob_1511,C,nan,nan
659,prob_2739,B,nan,nan
660,prob_1502,C,1500,constructive algorithms
661,prob_1502,C,1500,flows
662,prob_1502,C,1500,graphs
663,prob_5133,E,nan,nan
664,prob_6482,D,nan,nan
665,prob_2309,C,1500,greedy
666,prob_2309,C,1500,implementation
667,prob_6276,C,nan,dp
668,prob_6276,C,nan,greedy
669,prob_6276,C,nan,implementation
670,prob_3428,A,500,brute force
671,prob_3428,A,500,two pointers
672,prob_3381,C,1500,data structures
673,prob_3381,C,1500,implementation
674,prob_3381,C,1500,sortings
675,prob_3936,D,nan,nan
676,prob_6401,B,1000,dp
677,prob_6401,B,1000,strings
678,prob_2158,G,nan,nan
679,prob_969,D,1500,implementation
680,prob_681,F,nan,*special
681,prob_3191,F,nan,nan
682,prob_5382,B,1000,strings
683,prob_5254,A,nan,nan
684,prob_3064,E,2500,dp
685,prob_3064,E,2500,math
686,prob_2810,H,nan,nan
687,prob_4117,D,1750,combinatorics
688,prob_4117,D,1750,dp
689,prob_4117,D,1750,flows
690,prob_4117,D,1750,graphs
691,prob_1285,A,nan,nan
692,prob_656,C,nan,nan
693,prob_4206,H,nan,nan
694,prob_2589,H,nan,nan
695,prob_326,C,1500,data structures
696,prob_326,C,1500,dp
697,prob_4011,F,nan,nan
698,prob_3054,D,3000,data structures
699,prob_3054,D,3000,greedy
700,prob_1566,B,nan,nan
701,prob_6368,B,nan,nan
702,prob_2761,K,nan,nan
703,prob_2504,B,1000,brute force
704,prob_2504,B,1000,probabilities
705,prob_3359,D,2000,data structures
706,prob_3359,D,2000,dfs and similar
707,prob_3359,D,2000,dp
708,prob_3359,D,2000,dsu
709,prob_1199,A,nan,graphs
710,prob_2539,D,2250,nan
711,prob_474,E,nan,data structures
712,prob_474,E,nan,dfs and similar
713,prob_474,E,nan,dsu
714,prob_474,E,nan,graphs
715,prob_474,E,nan,trees
716,prob_4372,B,1000,geometry
717,prob_4854,B,nan,nan
718,prob_4535,C,1500,combinatorics
719,prob_4535,C,1500,dp
720,prob_3737,I,nan,nan
721,prob_4599,J,nan,nan
722,prob_5412,F,nan,nan
723,prob_252,A,nan,*special
724,prob_5129,A,nan,nan
725,prob_4411,E,nan,nan
726,prob_1185,E,2500,combinatorics
727,prob_1185,E,2500,dfs and similar
728,prob_1185,E,2500,dsu
729,prob_1185,E,2500,greedy
730,prob_6510,E,nan,nan
731,prob_1867,F,nan,nan
732,prob_3871,A,nan,brute force
733,prob_3871,A,nan,implementation
734,prob_3871,A,nan,math
735,prob_2582,B,1000,hashing
736,prob_2582,B,1000,implementation
737,prob_5757,B,1000,implementation
738,prob_1785,C,nan,nan
739,prob_682,B,1000,nan
740,prob_697,A,500,brute force
741,prob_697,A,500,math
742,prob_5330,H,nan,nan
743,prob_898,B,nan,nan
744,prob_5427,C,1500,brute force
745,prob_5427,C,1500,math
746,prob_5427,C,1500,number theory
747,prob_5427,C,1500,sortings
748,prob_5427,C,1500,two pointers
749,prob_3706,E,nan,nan
750,prob_3475,E,3000,nan
751,prob_5143,A,nan,nan
752,prob_2628,B,1000,brute force
753,prob_2628,B,1000,implementation
754,prob_4374,A,nan,nan
755,prob_3139,I,nan,nan
756,prob_4962,I,nan,nan
757,prob_2428,B,nan,nan
758,prob_3322,D,nan,nan
759,prob_3937,C,nan,nan
760,prob_6274,B,1000,greedy
761,prob_5204,B,nan,nan
762,prob_2503,A,3000,flows
763,prob_2503,A,3000,graphs
764,prob_448,D,nan,nan
765,prob_3884,C,1000,binary search
766,prob_3884,C,1000,sortings
767,prob_3817,H,nan,nan
768,prob_4334,J,nan,nan
769,prob_3527,C,1500,greedy
770,prob_3527,C,1500,implementation
771,prob_3527,C,1500,math
772,prob_3527,C,1500,number theory
773,prob_2977,C,1500,dfs and similar
774,prob_2977,C,1500,dp
775,prob_2977,C,1500,two pointers
776,prob_4834,nan,nan,nan
777,prob_1378,G,nan,nan
778,prob_2076,C,1500,binary search
779,prob_2076,C,1500,data structures
780,prob_2076,C,1500,greedy
781,prob_3214,B,1000,brute force
782,prob_3214,B,1000,dfs and similar
783,prob_3214,B,1000,math
784,prob_3214,B,1000,number theory
785,prob_2483,E,2000,brute force
786,prob_2035,B,nan,nan
787,prob_2283,E,nan,nan
788,prob_532,E,nan,divide and conquer
789,prob_532,E,nan,dp
790,prob_532,E,nan,fft
791,prob_837,G,nan,nan
792,prob_5017,H,nan,nan
793,prob_6416,B,1000,greedy
794,prob_6416,B,1000,math
795,prob_5782,H,nan,nan
796,prob_1240,D,nan,nan
797,prob_5819,F,nan,nan
798,prob_1688,A,500,implementation
799,prob_1672,A,500,dfs and similar
800,prob_1672,A,500,implementation
801,prob_2108,E,2500,divide and conquer
802,prob_2108,E,2500,two pointers
803,prob_418,B,nan,implementation
804,prob_5775,B,nan,sortings
805,prob_283,C,1500,geometry
806,prob_283,C,1500,implementation
807,prob_531,E,nan,nan
808,prob_336,D,nan,bitmasks
809,prob_336,D,nan,trees
810,prob_630,D,2000,binary search
811,prob_630,D,2000,bitmasks
812,prob_630,D,2000,combinatorics
813,prob_630,D,2000,dp
814,prob_630,D,2000,math
815,prob_2043,F,nan,nan
816,prob_498,A,nan,nan
817,prob_44,E,2500,binary search
818,prob_44,E,2500,dsu
819,prob_44,E,2500,trees
820,prob_1214,G,nan,nan
821,prob_3523,J,nan,*special
822,prob_5265,A,500,constructive algorithms
823,prob_5265,A,500,implementation
824,prob_2536,B,1000,implementation
825,prob_2536,B,1000,sortings
826,prob_1970,D,nan,*special
827,prob_4620,D,2000,binary search
828,prob_4620,D,2000,data structures
829,prob_4620,D,2000,dp
830,prob_5338,D,2000,bitmasks
831,prob_5338,D,2000,brute force
832,prob_5338,D,2000,fft
833,prob_1389,B,nan,brute force
834,prob_1389,B,nan,implementation
835,prob_1527,C,1000,greedy
836,prob_1527,C,1000,math
837,prob_1527,C,1000,sortings
838,prob_2288,A,500,implementation
839,prob_1976,D,2000,bitmasks
840,prob_1976,D,2000,brute force
841,prob_1976,D,2000,combinatorics
